product_id,name,category,description,price_sgd,commission_rate,monthly_units_sold,rating
SKU9310518635,Garnier Sunscreen 50ml,Beauty,"Garnier Sunscreen, 50ml — a Skincare & Cosmetics item in the Beauty category.",17.74,0.2,7,3.9
SKU6955836996,Adidas Running Shoes Standard,Sports & Lifestyle,"Adidas Running Shoes, Standard — a Sports Gear item in the Sports & Lifestyle category.",44.64,0.11,13,3.3
SKU6171745695,Puma Gym Towel Standard,Sports & Lifestyle,"Puma Gym Towel, Standard — a Sports Gear item in the Sports & Lifestyle category.",63.71,0.15,17,3.4
SKU9112068923,Samsung Power Bank 10000mAh,Electronics Accessories,"Samsung Power Bank, 10000mAh — a Gadgets item in the Electronics Accessories category.",49.1,0.04,16,4.3
SKU4171552432,Sony USB Charger 33W,Electronics Accessories,"Sony USB Charger, 33W — a Gadgets item in the Electronics Accessories category.",41.2,0.09,5,4.5
SKU0908706868,H&M Home Bath Towel Standard,Home & Living,"H&M Home Bath Towel, Standard — a Home Essentials item in the Home & Living category.",22.19,0.13,12,4.1
SKU4352719472,Samsung Wireless Earbuds Standard,Electronics Accessories,"Samsung Wireless Earbuds, Standard — a Gadgets item in the Electronics Accessories category.",43.11,0.08,6,3.6
SKU2767416311,Xiaomi Wireless Earbuds Standard,Electronics Accessories,"Xiaomi Wireless Earbuds, Standard — a Gadgets item in the Electronics Accessories category.",77.62,0.05,4,3.4
SKU1691039685,L'Oreal Facial Cleanser 100ml,Beauty,"L'Oreal Facial Cleanser, 100ml — a Skincare & Cosmetics item in the Beauty category.",18.85,0.19,20,4.4
SKU3856506982,Anker Wireless Earbuds Standard,Electronics Accessories,"Anker Wireless Earbuds, Standard — a Gadgets item in the Electronics Accessories category.",40.42,0.04,13,4.5
SKU7213167310,Milo Breakfast Cereal 500g,Food & Beverage,"Milo Breakfast Cereal, 500g — a Groceries item in the Food & Beverage category.",4.4,0.11,34,4.3
SKU2382683178,H&M Home Bath Towel Standard,Home & Living,"H&M Home Bath Towel, Standard — a Home Essentials item in the Home & Living category.",47.2,0.11,3,3.6
SKU0854478449,Persil Laundry Detergent 1.5kg,Home Care,"Persil Laundry Detergent, 1.5kg — a Cleaning Supplies item in the Home Care category.",7.9,0.14,12,4.6
SKU7140396225,Garnier Moisturizer 50ml,Beauty,"Garnier Moisturizer, 50ml — a Skincare & Cosmetics item in the Beauty category.",30.38,0.16,21,3.4
SKU4471900304,Philips Bluetooth Speaker Standard,Electronics Accessories,"Philips Bluetooth Speaker, Standard — a Gadgets item in the Electronics Accessories category.",61.79,0.09,3,3.4
SKU5748392854,Oreo Chocolate Snack 100g,Food & Beverage,"Oreo Chocolate Snack, 100g — a Groceries item in the Food & Beverage category.",7.67,0.09,15,4.1
SKU5468002294,Lifebuoy Deodorant 50ml,Personal Care,"Lifebuoy Deodorant, 50ml — a Toiletries & Bath item in the Personal Care category.",5.71,0.15,15,3.4
SKU3750227445,Pantene Shampoo 300ml,Personal Care,"Pantene Shampoo, 300ml — a Toiletries & Bath item in the Personal Care category.",5.89,0.17,27,4.2
SKU2614716610,H&M Home Storage Box Small,Home & Living,"H&M Home Storage Box, Small — a Home Essentials item in the Home & Living category.",29.3,0.1,6,3.3
SKU9602280382,Pantene Toothpaste 150g,Personal Care,"Pantene Toothpaste, 150g — a Toiletries & Bath item in the Personal Care category.",7.98,0.17,40,3.9
SKU9268292227,Nike Running Shoes Standard,Sports & Lifestyle,"Nike Running Shoes, Standard — a Sports Gear item in the Sports & Lifestyle category.",60.44,0.17,20,4.2
SKU0409524346,Persil Air Freshener 300ml,Home Care,"Persil Air Freshener, 300ml — a Cleaning Supplies item in the Home Care category.",7.78,0.12,43,4.0
SKU5966165534,La Roche-Posay Facial Cleanser 100ml,Beauty,"La Roche-Posay Facial Cleanser, 100ml — a Skincare & Cosmetics item in the Beauty category.",16.32,0.18,24,3.2
SKU4250546449,Garnier Moisturizer 50ml,Beauty,"Garnier Moisturizer, 50ml — a Skincare & Cosmetics item in the Beauty category.",20.06,0.21,19,3.9
SKU5257232418,Comfort Air Freshener 300ml,Home Care,"Comfort Air Freshener, 300ml — a Cleaning Supplies item in the Home Care category.",5.23,0.1,55,3.7
SKU2377703159,Adidas Yoga Mat 4mm,Sports & Lifestyle,"Adidas Yoga Mat, 4mm — a Sports Gear item in the Sports & Lifestyle category.",104.07,0.11,6,4.2
SKU8185788985,Puma Running Shoes Standard,Sports & Lifestyle,"Puma Running Shoes, Standard — a Sports Gear item in the Sports & Lifestyle category.",106.01,0.13,6,3.3
SKU3543128798,L'Oreal Moisturizer 50ml,Beauty,"L'Oreal Moisturizer, 50ml — a Skincare & Cosmetics item in the Beauty category.",25.56,0.15,8,3.8
SKU6453037202,La Roche-Posay Moisturizer 50ml,Beauty,"La Roche-Posay Moisturizer, 50ml — a Skincare & Cosmetics item in the Beauty category.",12.26,0.2,20,4.6
SKU6941397148,Colgate Toothpaste 150g,Personal Care,"Colgate Toothpaste, 150g — a Toiletries & Bath item in the Personal Care category.",9.09,0.15,24,4.2
SKU8112255921,Milo Chocolate Snack 100g,Food & Beverage,"Milo Chocolate Snack, 100g — a Groceries item in the Food & Beverage category.",3.87,0.13,24,3.3
