review_id,category,review_text,stars
R0001,Beauty & Skincare,"Repurchased twice already, bottle smaller than expected. Shiok!",5
R0002,Beauty & Skincare,"Works exactly as shown, white cast was an issue. Packaging was secure.",5
R0003,Beauty & Skincare,"Bought after seeing one video, no regrets. bottle smaller than expected",4
R0004,Beauty & Skincare,Product okay but no SG creator covers how to use it properly. no breakouts after two weeks,3
R0005,Beauty & Skincare,"Repurchased twice already, bottle smaller than expected. Shiok!",4
R0006,Beauty & Skincare,"Quality is better than expected, white cast was an issue. Delivery to Ang Mo Kio took only 2 days.",4
R0007,Beauty & Skincare,"Bought after seeing one video, no regrets. bottle smaller than expected",5
R0008,Beauty & Skincare,Product okay but no SG creator covers how to use it properly. texture absorbs fast in our humidity,3
R0009,Beauty & Skincare,"Bought after seeing one video, no regrets. no breakouts after two weeks",4
R0010,Beauty & Skincare,"Legit good buy, texture absorbs fast in our humidity. Recommended to my colleagues.",5
R0011,Beauty & Skincare,Cheaper than retail and works great. white cast was an issue,4
R0012,Beauty & Skincare,"Legit good buy, texture absorbs fast in our humidity. Recommended to my colleagues.",5
R0013,Beauty & Skincare,"Not as described, no breakouts after two weeks. Returning it.",3
R0014,Beauty & Skincare,"Legit good buy, no breakouts after two weeks. Recommended to my colleagues.",5
R0015,Beauty & Skincare,"Not as described, no breakouts after two weeks. Returning it.",2
R0016,Beauty & Skincare,"Disappointed, white cast was an issue. The listing photos were misleading.",3
R0017,Beauty & Skincare,"Bought after seeing one video, no regrets. no breakouts after two weeks",5
R0018,Beauty & Skincare,"Legit good buy, no breakouts after two weeks. Recommended to my colleagues.",4
R0019,Beauty & Skincare,"Works exactly as shown, texture absorbs fast in our humidity. Packaging was secure.",4
R0020,Beauty & Skincare,Took long to decide because zero local content about this. texture absorbs fast in our humidity,2
R0021,Beauty & Skincare,"Bought after seeing one video, no regrets. no breakouts after two weeks",4
R0022,Home & Living,Product okay but no SG creator covers how to use it properly. fits my HDB bathroom corner perfectly,3
R0023,Home & Living,"Repurchased twice already, magnet grip is strong. Shiok!",4
R0024,Home & Living,"Works exactly as shown, fits my HDB bathroom corner perfectly. Packaging was secure.",5
R0025,Home & Living,"Quality is better than expected, assembly took 5 minutes. Delivery to Bedok took only 2 days.",4
R0026,Home & Living,"Bought after seeing one video, no regrets. magnet grip is strong",5
R0027,Home & Living,"Quality is better than expected, magnet grip is strong. Delivery to Jurong East took only 2 days.",4
R0028,Home & Living,"Legit good buy, fits my HDB bathroom corner perfectly. Recommended to my colleagues.",4
R0029,Home & Living,"Repurchased twice already, magnet grip is strong. Shiok!",5
